use_no, field_name, old_value, new_value, error_id
2848215, ACRE_PLANTED, 15, 50, 176154
2848216, ACRE_PLANTED, 15, 30, 176155
2848217, ACRE_PLANTED, 15, 30, 176156
2848218, ACRE_PLANTED, 15, 30, 176157
4096924, ACRE_PLANTED, 100, 102, 248080
1990935, ACRE_TREATED, .63, 2.37, 156569
1990952, ACRE_TREATED, .02, 2.27, 156570
1373943, LBS_PRD_USED, .0041, .0041, 115856
1373943, AMT_PRD_USED, 1, .0649, 115856
1364042, ACRE_PLANTED, 4.5, 6.13, 112956
1364043, ACRE_PLANTED, 4.5, 6.13, 112957
1364044, ACRE_PLANTED, 4.5, 6.13, 112958
1364066, ACRE_PLANTED, 36, 37.5, 112980
1364094, ACRE_PLANTED, 3.02, 3.27, 113007
1364096, ACRE_PLANTED, 3.02, 3.27, 113010
1364116, ACRE_PLANTED, 111, 113, 113030
1364117, ACRE_PLANTED, 111, 113, 113031
1364118, ACRE_PLANTED, 111, 113, 113032
1364032, ACRE_PLANTED, 36, 36.5, 112945
1364033, ACRE_PLANTED, 36, 36.5, 112946
1364034, ACRE_PLANTED, 36, 36.5, 112947
1364035, ACRE_PLANTED, 3.02, 3.27, 112948
1364036, ACRE_PLANTED, 3.02, 3.27, 112949
1364037, ACRE_PLANTED, 3.02, 3.27, 112950
1364041, ACRE_PLANTED, 4.5, 6.13, 112955
4100393, SITE_CODE, 066002, -1, 248424
4100394, SITE_CODE, 066002, -1, 248425
4100395, SITE_CODE, 066002, -1, 248426
4100396, SITE_CODE, 066002, -1, 248427
4100399, SITE_CODE, 066002, -1, 248428
4100400, SITE_CODE, 066002, -1, 248429
4100401, SITE_CODE, 066002, -1, 248430
4100402, SITE_CODE, 066002, -1, 248431
1605593, ACRE_TREATED, 1060, 634.87, 129254
1605593, ACRE_PLANTED, 1180, 634.87, 129255
665265, ACRE_PLANTED, 840, 687.52, 52445
665266, ACRE_PLANTED, 840, 687.52, 52446
665291, ACRE_PLANTED, 840, 687.52, 52493
665456, ACRE_PLANTED, 840, 687.52, 52855
666243, ACRE_PLANTED, 840, 687.52, 54604
666244, ACRE_PLANTED, 840, 687.52, 54605
3952170, LBS_PRD_USED, .0142, .0142, 236125
3952170, AMT_PRD_USED, 3, .2109, 236125
666252, ACRE_PLANTED, 840, 687.52, 54626
666253, ACRE_PLANTED, 840, 687.52, 54627
665292, ACRE_PLANTED, 840, 687.52, 52494
665293, ACRE_PLANTED, 840, 687.52, 52495
665294, ACRE_PLANTED, 840, 687.52, 52496
665295, ACRE_PLANTED, 840, 687.52, 52497
665296, ACRE_PLANTED, 840, 687.52, 52498
665573, ACRE_PLANTED, 1180, 634.87, 53068
666353, ACRE_PLANTED, 840, 687.52, 54867
666354, ACRE_PLANTED, 840, 687.52, 54868
664703, ACRE_PLANTED, 840, 687.52, 51225
664704, ACRE_PLANTED, 840, 687.52, 51226
664710, GROWER_ID, 24132400506, 24172400506, 51241
664711, GROWER_ID, 24132400506, 24172400506, 51242
665960, ACRE_PLANTED, 1180, 634.87, 53919
665491, LBS_PRD_USED, 6.5622, 6.5622, 52931
665491, AMT_PRD_USED, 384, 104.9956, 52931
665495, ACRE_PLANTED, 840, 687.52, 52933
665498, LBS_PRD_USED, 26.2489, 26.2489, 52934
665498, AMT_PRD_USED, 1536, 419.9822, 52934
665375, ACRE_PLANTED, 840, 687.52, 52691
665376, ACRE_PLANTED, 840, 687.52, 52692
665616, ACRE_TREATED, 1056, 634.87, 53183
665616, ACRE_PLANTED, 1180, 634.87, 53184
665617, ACRE_TREATED, 1056, 634.87, 53185
665617, ACRE_PLANTED, 1180, 634.87, 53186
665622, ACRE_PLANTED, 840, 687.52, 53197
665508, ACRE_PLANTED, 1008, 644.74, 52951
665509, ACRE_PLANTED, 1008, 644.74, 52952
665510, ACRE_PLANTED, 1008, 644.74, 52953
665623, ACRE_PLANTED, 840, 687.52, 53198
3940411, LBS_PRD_USED, .0048, .0048, 235126
3940411, AMT_PRD_USED, 16, .0771, 235126
3940412, LBS_PRD_USED, .0025, .0025, 235127
3940412, AMT_PRD_USED, 6, .0368, 235127
234769, ACRE_PLANTED, 725, 649.03, 32540
234770, ACRE_PLANTED, 725, 649.03, 32541
1366261, UNIT_TREATED, U, A, 113942
1366262, UNIT_TREATED, U, A, 113943
1366386, ACRE_PLANTED, 60, 150, 113967
1366387, ACRE_PLANTED, 60, 150, 113968
1366388, ACRE_PLANTED, 60, 130, 113969
1366389, ACRE_PLANTED, 60, 130, 113970
1366390, ACRE_PLANTED, 60, 130, 113971
1366391, ACRE_PLANTED, 60, 130, 113972
2932586, LBS_PRD_USED, 20.3252, 20.3252, 177844
2932586, AMT_PRD_USED, 167.5, 2, 177844
2932588, LBS_PRD_USED, .2165, .2165, 177845
2932588, AMT_PRD_USED, 1304.695, .0187, 177845
2501628, LBS_PRD_USED, .1119, .1119, 170350
2501628, AMT_PRD_USED, 240, 1.4677, 170350
665402, ACRE_PLANTED, 840, 687.52, 52726
665403, ACRE_PLANTED, 840, 687.52, 52727
2512410, LBS_PRD_USED, .032, .032, 170697
2512410, AMT_PRD_USED, 60, .0226, 170697
1381086, ACRE_PLANTED, 806, 650.65, 117622
1381087, ACRE_PLANTED, 806, 650.65, 117623
1381088, ACRE_PLANTED, 806, 650.65, 117624
1381089, ACRE_PLANTED, 806, 650.65, 117625
1381090, ACRE_PLANTED, 806, 650.65, 117626
1381091, ACRE_PLANTED, 806, 650.65, 117627
1381092, ACRE_PLANTED, 806, 650.65, 117628
1381084, ACRE_PLANTED, 806, 650.65, 117620
1381085, ACRE_PLANTED, 806, 650.65, 117621
665397, ACRE_PLANTED, 840, 687.52, 52717
665398, ACRE_PLANTED, 840, 687.52, 52718
1381039, ACRE_PLANTED, 800, 651.5, 117602
1381040, ACRE_PLANTED, 800, 651.5, 117603
1381041, ACRE_PLANTED, 800, 651.5, 117604
1381042, ACRE_PLANTED, 800, 651.5, 117605
1381043, ACRE_PLANTED, 800, 651.5, 117606
2253759, ACRE_PLANTED, 33, 34, 163557
2253760, ACRE_PLANTED, 74, 76, 163558
2253761, ACRE_PLANTED, 74, 76, 163559
2253762, ACRE_PLANTED, 74, 76, 163560
2253763, ACRE_PLANTED, 74, 76, 163561
2253764, ACRE_PLANTED, 74, 76, 163562
2253765, ACRE_PLANTED, 74, 76, 163563
2253818, ACRE_PLANTED, 57, 59, 163564
2253819, ACRE_PLANTED, 57, 59, 163565
2253820, ACRE_PLANTED, 57, 59, 163566
2253827, ACRE_PLANTED, 102, 111, 163567
2253828, ACRE_PLANTED, 102, 111, 163568
2253829, ACRE_PLANTED, 102, 111, 163569
2253850, ACRE_PLANTED, 6.54, 7, 163570
2222978, LBS_PRD_USED, .9355, .9355, 163269
2222978, AMT_PRD_USED, 72, 11.9766, 163269
2253577, ACRE_PLANTED, 74, 76, 163535
2253579, ACRE_PLANTED, 102, 111, 163536
2253584, ACRE_PLANTED, 57, 59, 163537
2253585, ACRE_PLANTED, 33, 34, 163538
